ANSKAFFELSE AV MIDLER,Note,2021,2020
Medlemsinntekter,,27 450 930,25 087 219
Tilskudd,,,
Offentlige tilskudd,Note 2,39 490 095,29 148 311
Tippenøkkel,,68 179 486,59 510 013
Andre tilskudd,Note 3,6 267 671,4 388 082
Administrasjonstillegg ved tilskudd,Note 3,1 206 500,689 600
Sum tilskudd,,115 143 752,93 736 006
Innsamlede midler og gaver,,,
Testamentariske inntekter,,144 163 091,145 657 261
Minnegaver,,25 416 144,24 825 808
Gaver og innsamlede midler fra privatpersoner,,161 220 693,169 060 604
Gaver fra stiftelser,,7 805 713,10 883 228
Gaver fra næringslivet,,45 266 533,47 180 981
Sum innsamlede midler og gaver,,383 872 174,397 607 882
Inntekter fra operasjonelle aktiviteter,,,
Inntekter fra formålsaktiviteter,,380 134,541 486
Sponsorinntekter,,1 840 000,2 190 000
Andre inntekter fra operasjonelle aktiviteter,,1 685 550,2 074 493
Sum operasjonelle aktiviteter,,3 905 683,4 805 979
Finansinntekter,Note 4,156 648 300,81 052 274
Andre inntekter,,3 035 844,2 562 709
Sum anskaffelse av midler,,690 056 684,604 852 069
FORBRUK AV MIDLER,"Note 5,6,7",2021,2020
KOSTNADER TIL ANSKAFFELSE AV MIDLER,,,
Kostnader knyttet til medlemmer,,16 199 401,9 425 530
Kostnader knyttet til tilskudd,,988 933,1 035 157
Forbruk av midler til innsamling,,,
Testamentarisk,,16 212 462,14 280 016
Minnegaver,,4 402 116,5 214 417
Privatpersoner,,58 471 169,56 996 318
Næringslivet,,4 775 580,4 939 222
Sum forbruk av midler til innsamling,,83 861 326,81 429 973
Kostnader til operasjonelle aktiviteter,,2 398 934,1 695 978
Sum kostnader til anskaffelse av midler,,103 448 595,93 586 638
KOSTNADER TIL FORMÅLET,,,
Bevilgninger,,,
Forskning,,273 078 047,238 583 980
Kreftomsorg,Note 8,36 579 798,35 102 698
Internasjonalt arbeid,,8 062 792,3 091 339
Forebyggende arbeid,,30 000,0
Sum bevilgninger,,317 750 637,276 778 017
Aktiviteter,,,
Forskningsledelse og -formidling,,14 318 601,11 953 571
Informasjon,,51 943 091,50 098 888
Kreftomsorg,,80 702 018,62 540 601
Samfunnskontakt,,18 041 117,15 819 992
Internasjonalt arbeid,,2 032 123,2 289 368
Forebyggende arbeid,,15 664 059,14 950 758
Sum aktiviteter,,182 701 010,157 653 178
Administrasjonskostnader,Note 9,7 595 888,10 527 756
Sum forbrukte midler,,611 496 130,538 545 589
"ÅRETS AKTIVITETSRESULTAT",,78 560 553,66 306 479
TILLEGG / REDUKSJON FORMÅLSKAPITAL,,,
Formålskapital med eksternt pålagte restriksjoner,,-8 373 830,15 012 729
Formålskapital med selvpålagte restriksjoner,,-64 000 000,-1 306 000
Annen formålskapital,,150 934 383,52 599 751
Sum disponert,,78 560 553,66 306 479
EIENDELER,Note,31.12.2021,31.12.2020
ANLEGGSMIDLER,,,
Varige driftsmidler,,,
Driftsmidler,Note 11,14 718 118,15 690 585
Finansielle anleggsmidler,,,
Langsiktige fordringer,Note 13,5 630 000,5 630 000
Langsiktige plasseringer,"Note 12, 14",185 000,185 000
Sum anleggsmidler,,20 533 118,21 505 585
OMLØPSMIDLER,,,
Fordringer,"Note 10, 13",34 745 958,48 408 614
Eiendommer for salg,Note 10,782 509,796 512
Investeringer,,,
Markedsbaserte aksjer og aksjefond,Note 14,770 143 685,648 056 298
Markedsbaserte rentebærende papirer,Note 14,653 058 320,569 248 664
"Bankinnskudd, kontanter o.l.",Note 15,238 371 491,271 319 243
Sum omløpsmidler,,1 697 101 964,1 537 829 331
SUM EIENDELER,,1 717 635 082,1 559 334 916
FORMÅLSKAPITAL OG GJELD,Note,31.12.2021,31.12.2020
FORMÅLSKAPITAL,,,
Grunnfond,Note 16,100 000 000,100 000 000
Formålskapital med eksternt pålagte restriksjoner,Note 16,43 974 730,52 348 560
Formålskapital med selvpålagte restriksjoner,Note 16,,
"- Forskning",,86 000 000,150 000 000
"- Annen formålskapital med selvpålagte restriksjoner",,100 000 000,100 000 000
Annen formålskapital,Note 16,679 422 888,528 488 505
Sum formålskapital,,1 009 397 618,930 837 064
GJELD,,,
Avsetning for forpliktelser,,,
Pensjonsforpliktelser,Note 17,7 349 353,7 918 888
"Ikke utbetalte bevilgninger, langsiktig",Note 18,360 072 101,301 822 254
Andre forpliktelser,,1 213 640,1 821 114
Kortsiktig gjeld,,,
Leverandørgjeld,,14 562 659,12 634 024
"Ikke utbetalte bevilgninger, kortsiktig",Note 18,288 077 457,272 786 409
Tilskuddsgjeld,,6 742 799,7 498 124
Skyldige offentlige avgifter,,11 428 072,10 216 254
Annen kortsiktig gjeld,,18 791 383,13 800 785
Sum gjeld,,708 237 464,628 497 851
SUM FORMÅLSKAPITAL OG GJELD,,1 717 635 082,1 559 334 916
